"","Run","library_name","Collection_Date","lib"
"166","ERR9861754","",2021-08-17,"-"
"157","ERR9861717","",2021-08-18,"-"
"158","ERR9861718","",2021-08-19,"-"
"159","ERR9861719","",2021-08-20,"-"
"160","ERR9861720","",2021-08-21,"-"
"161","ERR9861721","",2021-08-22,"-"
"162","ERR9861722","",2021-08-23,"-"
"163","ERR9861723","",2021-08-24,"-"
"150","ERR9861682","",2021-08-25,"-"
"151","ERR9861683","",2021-08-26,"-"
"152","ERR9861684","",2021-08-27,"-"
"153","ERR9861685","",2021-08-28,"-"
"154","ERR9861686","",2021-08-29,"-"
"155","ERR9861687","",2021-08-30,"-"
"156","ERR9861688","",2021-08-31,"-"
"143","ERR9861647","",2021-09-01,"-"
"144","ERR9861648","",2021-09-02,"-"
"145","ERR9861649","",2021-09-03,"-"
"146","ERR9861650","",2021-09-04,"-"
"147","ERR9861651","",2021-09-05,"-"
"148","ERR9861652","",2021-09-06,"-"
"149","ERR9861653","",2021-09-07,"-"
"136","ERR9861614","",2021-09-08,"-"
"137","ERR9861615","",2021-09-09,"-"
"138","ERR9861616","",2021-09-10,"-"
"139","ERR9861617","",2021-09-11,"-"
"140","ERR9861618","",2021-09-12,"-"
"141","ERR9861619","",2021-09-13,"-"
"142","ERR9861620","",2021-09-14,"-"
"129","ERR9861578","",2021-09-15,"-"
"130","ERR9861579","",2021-09-16,"-"
"131","ERR9861580","",2021-09-17,"-"
"132","ERR9861581","",2021-09-18,"-"
"133","ERR9861582","",2021-09-19,"-"
"134","ERR9861583","",2021-09-20,"-"
"135","ERR9861584","",2021-09-21,"-"
"122","ERR9861547","",2021-09-22,"-"
"123","ERR9861548","",2021-09-23,"-"
"124","ERR9861549","",2021-09-24,"-"
"125","ERR9861550","",2021-09-25,"-"
"126","ERR9861551","",2021-09-26,"-"
"127","ERR9861552","",2021-09-27,"-"
"128","ERR9861553","",2021-09-28,"-"
"115","ERR9861512","",2021-09-29,"-"
"117","ERR9861514","",2021-09-30,"-"
"118","ERR9861515","",2021-10-01,"-"
"116","ERR9861513","",2021-10-02,"-"
"119","ERR9861516","",2021-10-03,"-"
"120","ERR9861517","",2021-10-04,"-"
"121","ERR9861518","",2021-10-05,"-"
"108","ERR9861477","",2021-10-06,"-"
"109","ERR9861478","",2021-10-07,"-"
